Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
1326.95,945253,12776.76685,6401
1323.95,695831,9264.610192,4478
1330.65,863702,11368.94676,5819
1354.1,906996,12191.52775,5813
1388.05,1595855,22052.29527,9772
1379.65,702622,9683.836618,5349
1394.65,1011487,14117.55612,7239
1397.5,844266,11749.21869,6440
1381.25,1031056,14237.98344,5857
1379.4,773143,10653.22015,6819
1426.2,1289414,18306.91878,10918
1426.3,1205896,17160.86588,9098
1470,1692129,24666.75026,10355
1484.8,2014018,30045.86183,13760
1506.5,1286639,19310.72421,7063
1546.85,1429001,21631.88526,8663
1530.75,2091577,32379.38279,12395
1529.7,1529892,23409.15972,7610
1495.25,1661075,25126.61218,7722
1506.85,1726942,25787.26064,17515
1507.15,898073,13588.66275,10497
1505.3,1397148,21019.82048,10563
1510.4,1287923,19445.44991,10645
1536.6,2183657,33323.81492,16132
1574.85,1062768,16611.85391,7348
1577.1,737526,11668.63251,5119
1575.3,866991,13706.12431,4270
1562.25,1356451,21313.27241,4748
1568.7,971865,15265.72868,4881
1570.35,1166059,18299.45104,5423
1550.85,2004183,31439.07069,9871
1543.2,849853,13062.43252,5249
1588.75,1027258,16171.99749,7385
1563.9,1901910,30190.95562,15635
1502.05,2506589,37994.13623,11575
1481.95,2240881,33033.19923,11075
1468.5,1640561,24256.12003,13625
1455.2,1050854,15384.92015,6910
1506.3,1934851,28828.20952,13067
1464,926228,13675.53305,6612
1464.55,939280,13843.02167,8927
1459.5,883939,12922.47308,7652
1447.05,702438,10164.97889,12294
1444.8,1935296,28114.9011,16587
1471.05,1209283,17588.15371,7556
1513.6,1028011,15499.62065,8962
1526.6,1013100,15465.94661,6387
1536.1,532916,8182.411645,3213
1544.4,533182,8243.055506,3298
1549.85,73352,1138.273499,565
1555.9,1296521,20264.52434,6273
1562.3,772011,12004.67492,4111
1543.4,700695,10855.71098,3416
1522.4,633559,9753.926447,4591
1492,908959,13626.30636,5854
1521.7,646911,9818.480334,5198
1469.15,1447541,21322.85964,9050
1426,5100637,72789.91258,24155
1384.7,2683260,37486.95709,14492
1430.6,2764172,39075.82447,15488
1421.7,1414827,19856.52345,13587
1384.8,986465,13931.93387,14570
1342.9,2293068,31118.75925,14974
1330.9,1470206,19571.2617,10305
